Row 0:
  Domain 0: centroid = 126.00, value = 0, length = 51
  Domain 1: centroid = 24.50, value = 1, length = 2
  Domain 2: centroid = 26.00, value = 0, length = 1
  Domain 3: centroid = 29.50, value = 1, length = 6
  Domain 4: centroid = 33.00, value = 0, length = 1
  Domain 5: centroid = 62.00, value = 1, length = 57
  Domain 6: centroid = 91.00, value = 0, length = 1
  Domain 7: centroid = 94.00, value = 1, length = 5
  Domain 8: centroid = 97.00, value = 0, length = 1
  Domain 9: centroid = 99.00, value = 1, length = 3

Row 1:
  Domain 0: centroid = 123.00, value = 0, length = 45
  Domain 1: centroid = 18.00, value = 1, length = 1
  Domain 2: centroid = 20.50, value = 0, length = 4
  Domain 3: centroid = 56.00, value = 1, length = 67
  Domain 4: centroid = 90.00, value = 0, length = 1
  Domain 5: centroid = 91.50, value = 1, length = 2
  Domain 6: centroid = 93.00, value = 0, length = 1
  Domain 7: centroid = 95.00, value = 1, length = 3
  Domain 8: centroid = 98.00, value = 0, length = 3
  Domain 9: centroid = 100.00, value = 1, length = 1

Row 2:
  Domain 0: centroid = 114.50, value = 0, length = 46
  Domain 1: centroid = 10.00, value = 1, length = 1
  Domain 2: centroid = 13.00, value = 0, length = 5
  Domain 3: centroid = 16.00, value = 1, length = 1
  Domain 4: centroid = 17.00, value = 0, length = 1
  Domain 5: centroid = 19.00, value = 1, length = 3
  Domain 6: centroid = 21.00, value = 0, length = 1
  Domain 7: centroid = 49.50, value = 1, length = 56
  Domain 8: centroid = 78.00, value = 0, length = 1
  Domain 9: centroid = 80.50, value = 1, length = 4
  Domain 10: centroid = 83.00, value = 0, length = 1
  Domain 11: centroid = 84.00, value = 1, length = 1
  Domain 12: centroid = 85.00, value = 0, length = 1
  Domain 13: centroid = 87.00, value = 1, length = 3
  Domain 14: centroid = 89.00, value = 0, length = 1
  Domain 15: centroid = 90.50, value = 1, length = 2

Row 3:
  Domain 0: centroid = 114.50, value = 0, length = 50
  Domain 1: centroid = 47.50, value = 1, length = 72
  Domain 2: centroid = 86.00, value = 0, length = 5
  Domain 3: centroid = 89.00, value = 1, length = 1

Row 4:
  Domain 0: centroid = 115.50, value = 0, length = 44
  Domain 1: centroid = 10.00, value = 1, length = 1
  Domain 2: centroid = 11.50, value = 0, length = 2
  Domain 3: centroid = 13.50, value = 1, length = 2
  Domain 4: centroid = 16.00, value = 0, length = 3
  Domain 5: centroid = 46.50, value = 1, length = 58
  Domain 6: centroid = 76.00, value = 0, length = 1
  Domain 7: centroid = 78.00, value = 1, length = 3
  Domain 8: centroid = 80.00, value = 0, length = 1
  Domain 9: centroid = 81.50, value = 1, length = 2
  Domain 10: centroid = 83.00, value = 0, length = 1
  Domain 11: centroid = 85.00, value = 1, length = 3
  Domain 12: centroid = 89.50, value = 0, length = 6
  Domain 13: centroid = 93.00, value = 1, length = 1

Row 5:
  Domain 0: centroid = 114.00, value = 0, length = 47
  Domain 1: centroid = 10.00, value = 1, length = 1
  Domain 2: centroid = 11.00, value = 0, length = 1
  Domain 3: centroid = 12.50, value = 1, length = 2
  Domain 4: centroid = 16.50, value = 0, length = 6
  Domain 5: centroid = 52.00, value = 1, length = 65
  Domain 6: centroid = 85.00, value = 0, length = 1
  Domain 7: centroid = 86.00, value = 1, length = 1
  Domain 8: centroid = 88.00, value = 0, length = 3
  Domain 9: centroid = 90.00, value = 1, length = 1

Row 6:
  Domain 0: centroid = 128.00, value = 0, length = 43
  Domain 1: centroid = 22.00, value = 1, length = 1
  Domain 2: centroid = 23.00, value = 0, length = 1
  Domain 3: centroid = 24.00, value = 1, length = 1
  Domain 4: centroid = 25.00, value = 0, length = 1
  Domain 5: centroid = 26.00, value = 1, length = 1
  Domain 6: centroid = 27.00, value = 0, length = 1
  Domain 7: centroid = 30.50, value = 1, length = 6
  Domain 8: centroid = 34.00, value = 0, length = 1
  Domain 9: centroid = 65.00, value = 1, length = 61
  Domain 10: centroid = 96.00, value = 0, length = 1
  Domain 11: centroid = 97.00, value = 1, length = 1
  Domain 12: centroid = 99.00, value = 0, length = 3
  Domain 13: centroid = 101.00, value = 1, length = 1
  Domain 14: centroid = 103.00, value = 0, length = 3
  Domain 15: centroid = 105.50, value = 1, length = 2

Row 7:
  Domain 0: centroid = 120.00, value = 0, length = 45
  Domain 1: centroid = 15.00, value = 1, length = 1
  Domain 2: centroid = 16.00, value = 0, length = 1
  Domain 3: centroid = 17.00, value = 1, length = 1
  Domain 4: centroid = 18.00, value = 0, length = 1
  Domain 5: centroid = 20.50, value = 1, length = 4
  Domain 6: centroid = 23.00, value = 0, length = 1
  Domain 7: centroid = 53.50, value = 1, length = 60
  Domain 8: centroid = 84.00, value = 0, length = 1
  Domain 9: centroid = 88.00, value = 1, length = 7
  Domain 10: centroid = 93.00, value = 0, length = 3
  Domain 11: centroid = 96.00, value = 1, length = 3

Row 8:
  Domain 0: centroid = 121.50, value = 0, length = 44
  Domain 1: centroid = 17.00, value = 1, length = 3
  Domain 2: centroid = 19.00, value = 0, length = 1
  Domain 3: centroid = 50.00, value = 1, length = 61
  Domain 4: centroid = 81.00, value = 0, length = 1
  Domain 5: centroid = 85.50, value = 1, length = 8
  Domain 6: centroid = 90.00, value = 0, length = 1
  Domain 7: centroid = 91.00, value = 1, length = 1
  Domain 8: centroid = 92.00, value = 0, length = 1
  Domain 9: centroid = 93.50, value = 1, length = 2
  Domain 10: centroid = 96.50, value = 0, length = 4
  Domain 11: centroid = 99.00, value = 1, length = 1

Row 9:
  Domain 0: centroid = 122.50, value = 0, length = 42
  Domain 1: centroid = 16.00, value = 1, length = 1
  Domain 2: centroid = 19.50, value = 0, length = 6
  Domain 3: centroid = 24.50, value = 1, length = 4
  Domain 4: centroid = 27.50, value = 0, length = 2
  Domain 5: centroid = 30.50, value = 1, length = 4
  Domain 6: centroid = 33.00, value = 0, length = 1
  Domain 7: centroid = 59.00, value = 1, length = 51
  Domain 8: centroid = 85.00, value = 0, length = 1
  Domain 9: centroid = 87.00, value = 1, length = 3
  Domain 10: centroid = 89.00, value = 0, length = 1
  Domain 11: centroid = 90.00, value = 1, length = 1
  Domain 12: centroid = 91.00, value = 0, length = 1
  Domain 13: centroid = 92.50, value = 1, length = 2
  Domain 14: centroid = 94.00, value = 0, length = 1
  Domain 15: centroid = 96.00, value = 1, length = 3
  Domain 16: centroid = 99.00, value = 0, length = 3
  Domain 17: centroid = 101.00, value = 1, length = 1

Row 10:
  Domain 0: centroid = 115.50, value = 0, length = 44
  Domain 1: centroid = 10.00, value = 1, length = 1
  Domain 2: centroid = 12.00, value = 0, length = 3
  Domain 3: centroid = 14.00, value = 1, length = 1
  Domain 4: centroid = 15.00, value = 0, length = 1
  Domain 5: centroid = 16.00, value = 1, length = 1
  Domain 6: centroid = 17.00, value = 0, length = 1
  Domain 7: centroid = 50.00, value = 1, length = 65
  Domain 8: centroid = 84.50, value = 0, length = 4
  Domain 9: centroid = 88.00, value = 1, length = 3
  Domain 10: centroid = 90.00, value = 0, length = 1
  Domain 11: centroid = 91.00, value = 1, length = 1
  Domain 12: centroid = 92.00, value = 0, length = 1
  Domain 13: centroid = 93.00, value = 1, length = 1

Row 11:
  Domain 0: centroid = 0.50, value = 0, length = 2
  Domain 1: centroid = 2.50, value = 1, length = 2
  Domain 2: centroid = 4.50, value = 0, length = 2
  Domain 3: centroid = 36.00, value = 1, length = 61
  Domain 4: centroid = 67.00, value = 0, length = 1
  Domain 5: centroid = 71.00, value = 1, length = 7
  Domain 6: centroid = 75.00, value = 0, length = 1
  Domain 7: centroid = 76.00, value = 1, length = 1
  Domain 8: centroid = 77.00, value = 0, length = 1
  Domain 9: centroid = 78.00, value = 1, length = 1
  Domain 10: centroid = 102.50, value = 0, length = 48
  Domain 11: centroid = 127.00, value = 1, length = 1

Row 12:
  Domain 0: centroid = 0.50, value = 0, length = 2
  Domain 1: centroid = 4.50, value = 1, length = 6
  Domain 2: centroid = 8.00, value = 0, length = 1
  Domain 3: centroid = 35.50, value = 1, length = 54
  Domain 4: centroid = 63.00, value = 0, length = 1
  Domain 5: centroid = 68.50, value = 1, length = 10
  Domain 6: centroid = 96.00, value = 0, length = 45
  Domain 7: centroid = 119.00, value = 1, length = 1
  Domain 8: centroid = 120.50, value = 0, length = 2
  Domain 9: centroid = 122.00, value = 1, length = 1
  Domain 10: centroid = 124.50, value = 0, length = 4
  Domain 11: centroid = 127.00, value = 1, length = 1

Row 13:
  Domain 0: centroid = 0.00, value = 1, length = 1
  Domain 1: centroid = 1.00, value = 0, length = 1
  Domain 2: centroid = 4.50, value = 1, length = 6
  Domain 3: centroid = 8.00, value = 0, length = 1
  Domain 4: centroid = 38.50, value = 1, length = 60
  Domain 5: centroid = 69.00, value = 0, length = 1
  Domain 6: centroid = 71.00, value = 1, length = 3
  Domain 7: centroid = 73.00, value = 0, length = 1
  Domain 8: centroid = 74.00, value = 1, length = 1
  Domain 9: centroid = 98.00, value = 0, length = 47
  Domain 10: centroid = 122.00, value = 1, length = 1
  Domain 11: centroid = 123.50, value = 0, length = 2
  Domain 12: centroid = 125.00, value = 1, length = 1
  Domain 13: centroid = 126.50, value = 0, length = 2

Row 14:
